date,commodity,state,district,market,variety,grade,min_price,max_price,modal_price,arrival_quantity
2026-01-08,Tomato,Gujarat,Rajkot,Gondal Mandi,Desi,A,2180,2780,2480,1120
2026-01-09,Tomato,Gujarat,Rajkot,Gondal Mandi,Desi,A,2200,2800,2500,1100
2026-01-10,Tomato,Gujarat,Rajkot,Gondal Mandi,Desi,A,2220,2820,2520,1080
2026-01-11,Tomato,Gujarat,Rajkot,Gondal Mandi,Desi,A,2250,2850,2550,1050
2026-01-12,Tomato,Gujarat,Rajkot,Gondal Mandi,Desi,A,2280,2880,2580,1020
2026-01-13,Tomato,Gujarat,Rajkot,Gondal Mandi,Desi,A,2300,2900,2600,1000
2026-01-14,Tomato,Gujarat,Rajkot,Gondal Mandi,Desi,A,2320,2920,2620,980
2026-01-15,Tomato,Gujarat,Rajkot,Gondal Mandi,Desi,A,2350,2950,2650,960
2026-01-01,Tomato,Gujarat,Surat,Surat Mandi,Hybrid,A,1750,2350,2050,1400
2026-01-02,Tomato,Gujarat,Surat,Surat Mandi,Hybrid,A,1800,2400,2100,1380
2026-01-03,Tomato,Gujarat,Surat,Surat Mandi,Hybrid,A,1850,2450,2150,1350
2026-01-04,Tomato,Gujarat,Surat,Surat Mandi,Hybrid,A,1900,2500,2200,1320
2026-01-05,Tomato,Gujarat,Surat,Surat Mandi,Hybrid,A,1950,2550,2250,1300
2026-01-06,Tomato,Gujarat,Surat,Surat Mandi,Hybrid,A,2000,2600,2300,1280
2026-01-07,Tomato,Gujarat,Surat,Surat Mandi,Hybrid,A,2050,2650,2350,1250
2026-01-08,Tomato,Gujarat,Surat,Surat Mandi,Hybrid,A,2080,2680,2380,1220
2026-01-09,Tomato,Gujarat,Surat,Surat Mandi,Hybrid,A,2100,2700,2400,1200
2026-01-10,Tomato,Gujarat,Surat,Surat Mandi,Hybrid,A,2120,2720,2420,1180
2026-01-11,Tomato,Gujarat,Surat,Surat Mandi,Hybrid,A,2150,2750,2450,1150
2026-01-12,Tomato,Gujarat,Surat,Surat Mandi,Hybrid,A,2180,2780,2480,1120
2026-01-13,Tomato,Gujarat,Surat,Surat Mandi,Hybrid,A,2200,2800,2500,1100
2026-01-14,Tomato,Gujarat,Surat,Surat Mandi,Hybrid,A,2220,2820,2520,1080
2026-01-15,Tomato,Gujarat,Surat,Surat Mandi,Hybrid,A,2250,2850,2550,1050
2026-01-01,Wheat,Gujarat,Rajkot,Rajkot Mandi,Lokwan,FAQ,2200,2600,2400,2100
2026-01-02,Wheat,Gujarat,Rajkot,Rajkot Mandi,Lokwan,FAQ,2220,2620,2420,2050
2026-01-03,Wheat,Gujarat,Rajkot,Rajkot Mandi,Lokwan,FAQ,2240,2640,2440,2000
2026-01-04,Wheat,Gujarat,Rajkot,Rajkot Mandi,Lokwan,FAQ,2260,2660,2460,1950
2026-01-05,Wheat,Gujarat,Rajkot,Rajkot Mandi,Lokwan,FAQ,2280,2680,2480,1900
2026-01-06,Wheat,Gujarat,Rajkot,Rajkot Mandi,Lokwan,FAQ,2300,2700,2500,1850
2026-01-07,Wheat,Gujarat,Rajkot,Rajkot Mandi,Lokwan,FAQ,2320,2720,2520,1800
2026-01-08,Wheat,Gujarat,Rajkot,Rajkot Mandi,Lokwan,FAQ,2340,2740,2540,1750
2026-01-09,Wheat,Gujarat,Rajkot,Rajkot Mandi,Lokwan,FAQ,2360,2760,2560,1700
2026-01-10,Wheat,Gujarat,Rajkot,Rajkot Mandi,Lokwan,FAQ,2380,2780,2580,1650
2026-01-11,Wheat,Gujarat,Rajkot,Rajkot Mandi,Lokwan,FAQ,2400,2800,2600,1600
2026-01-12,Wheat,Gujarat,Rajkot,Rajkot Mandi,Lokwan,FAQ,2420,2820,2620,1550
2026-01-13,Wheat,Gujarat,Rajkot,Rajkot Mandi,Lokwan,FAQ,2440,2840,2640,1500
2026-01-14,Wheat,Gujarat,Rajkot,Rajkot Mandi,Lokwan,FAQ,2460,2860,2660,1450
2026-01-15,Wheat,Gujarat,Rajkot,Rajkot Mandi,Lokwan,FAQ,2480,2880,2680,1400
2026-01-01,Onion,Gujarat,Rajkot,Rajkot Mandi,Red,A,1400,1900,1650,3100
2026-01-02,Onion,Gujarat,Rajkot,Rajkot Mandi,Red,A,1420,1920,1670,3050
2026-01-03,Onion,Gujarat,Rajkot,Rajkot Mandi,Red,A,1440,1940,1690,3000
2026-01-04,Onion,Gujarat,Rajkot,Rajkot Mandi,Red,A,1460,1960,1710,2950
2026-01-05,Onion,Gujarat,Rajkot,Rajkot Mandi,Red,A,1480,1980,1730,2900
2026-01-06,Onion,Gujarat,Rajkot,Rajkot Mandi,Red,A,1500,2000,1750,2850
2026-01-07,Onion,Gujarat,Rajkot,Rajkot Mandi,Red,A,1520,2020,1770,2800
2026-01-08,Onion,Gujarat,Rajkot,Rajkot Mandi,Red,A,1540,2040,1790,2750
2026-01-09,Onion,Gujarat,Rajkot,Rajkot Mandi,Red,A,1560,2060,1810,2700
2026-01-10,Onion,Gujarat,Rajkot,Rajkot Mandi,Red,A,1580,2080,1830,2650
2026-01-11,Onion,Gujarat,Rajkot,Rajkot Mandi,Red,A,1600,2100,1850,2600
2026-01-12,Onion,Gujarat,Rajkot,Rajkot Mandi,Red,A,1620,2120,1870,2550
2026-01-13,Onion,Gujarat,Rajkot,Rajkot Mandi,Red,A,1640,2140,1890,2500
2026-01-14,Onion,Gujarat,Rajkot,Rajkot Mandi,Red,A,1660,2160,1910,2450
2026-01-15,Onion,Gujarat,Rajkot,Rajkot Mandi,Red,A,1680,2180,1930,2400
2026-01-01,Potato,Gujarat,Rajkot,Rajkot Mandi,Jyoti,A,1200,1600,1400,4100
2026-01-02,Potato,Gujarat,Rajkot,Rajkot Mandi,Jyoti,A,1220,1620,1420,4050
2026-01-03,Potato,Gujarat,Rajkot,Rajkot Mandi,Jyoti,A,1240,1640,1440,4000
2026-01-04,Potato,Gujarat,Rajkot,Rajkot Mandi,Jyoti,A,1260,1660,1460,3950
2026-01-05,Potato,Gujarat,Rajkot,Rajkot Mandi,Jyoti,A,1280,1680,1480,3900
2026-01-06,Potato,Gujarat,Rajkot,Rajkot Mandi,Jyoti,A,1300,1700,1500,3850
2026-01-07,Potato,Gujarat,Rajkot,Rajkot Mandi,Jyoti,A,1320,1720,1520,3800
2026-01-08,Potato,Gujarat,Rajkot,Rajkot Mandi,Jyoti,A,1340,1740,1540,3750
2026-01-09,Potato,Gujarat,Rajkot,Rajkot Mandi,Jyoti,A,1360,1760,1560,3700
2026-01-10,Potato,Gujarat,Rajkot,Rajkot Mandi,Jyoti,A,1380,1780,1580,3650
2026-01-11,Potato,Gujarat,Rajkot,Rajkot Mandi,Jyoti,A,1400,1800,1600,3600
2026-01-12,Potato,Gujarat,Rajkot,Rajkot Mandi,Jyoti,A,1420,1820,1620,3550
2026-01-13,Potato,Gujarat,Rajkot,Rajkot Mandi,Jyoti,A,1440,1840,1640,3500
2026-01-14,Potato,Gujarat,Rajkot,Rajkot Mandi,Jyoti,A,1460,1860,1660,3450
2026-01-15,Potato,Gujarat,Rajkot,Rajkot Mandi,Jyoti,A,1480,1880,1680,3400
